[INFO] [1776660939.874704633] [lidar_node]: LIDAR Node Started (listening on /gazebo_ros_lidar/out, publishing /scan)
[INFO] [1776662951.264649627] [lidar_node]: LIDAR update #3840: ranges=360, first_range=0.53
[INFO] [1776662965.961032056] [lidar_node]: LIDAR update #3860: ranges=360, first_range=0.53
[INFO] [1776662977.990451962] [lidar_node]: LIDAR update #3880: ranges=360, first_range=0.53
[INFO] [1776662990.539763698] [lidar_node]: LIDAR update #3900: ranges=360, first_range=0.53
[INFO] [1776663002.438562000] [lidar_node]: LIDAR update #3920: ranges=360, first_range=0.53
[INFO] [1776663014.541495807] [lidar_node]: LIDAR update #3940: ranges=360, first_range=0.52
[INFO] [1776663030.362730339] [lidar_node]: LIDAR update #3960: ranges=360, first_range=0.53
[INFO] [1776663040.416953088] [lidar_node]: LIDAR update #3980: ranges=360, first_range=0.53
[INFO] [1776663047.075817636] [lidar_node]: LIDAR update #4000: ranges=360, first_range=0.53
[INFO] [1776663053.602092128] [lidar_node]: LIDAR update #4020: ranges=360, first_range=0.52
[INFO] [1776663059.916586402] [lidar_node]: LIDAR update #4040: ranges=360, first_range=0.53
[INFO] [1776663065.517313008] [lidar_node]: LIDAR update #4060: ranges=360, first_range=0.53
[INFO] [1776663070.820648740] [lidar_node]: LIDAR update #4080: ranges=360, first_range=0.52
[INFO] [1776663075.419344213] [lidar_node]: LIDAR update #4100: ranges=360, first_range=0.53
[INFO] [1776663080.385838003] [lidar_node]: LIDAR update #4120: ranges=360, first_range=0.53
[INFO] [1776663085.587940445] [lidar_node]: LIDAR update #4140: ranges=360, first_range=0.54
